ids,clsids,expect_college,expect_edu_raw,linking_idx,teacher_praise,teacher_talk,bonding_idx,hukou_type,cog_score,ses_self,ses_pca,ses_pca_group,parent_edu_max,family_econ,home_books,has_desk,has_computer
1,1,1.0,9.0,2.59528826489182,3.333333333333333,1.0,0.7871015438149604,0.0,26,1977.0,1.0653559765051417,1,3.0,3.0,5.0,1.0,0.0
2,1,1.0,9.0,-0.0132022984356304,3.0,0.0,0.2873689629117474,0.0,26,1657.48,1.747245753632221,1,6.0,3.0,5.0,1.0,0.0
3,1,1.0,7.0,1.7891280627809465,2.6666666666666665,1.0,1.286834124718174,1.0,29,0.0,0.8663394017861631,1,6.0,3.0,3.0,1.0,0.0
4,1,1.0,7.0,2.192208163836383,3.0,1.0,-0.7120961988946796,0.0,17,1978.0,1.7613857624605782,1,8.0,3.0,4.0,1.0,0.0
5,1,1.0,8.0,0.9829678606700738,2.0,1.0,0.7871015438149604,1.0,30,1657.48,1.8608940498200675,1,6.5,3.0,5.0,1.0,0.0
6,1,1.0,8.0,0.9829678606700738,2.0,1.0,-0.2123636179914662,0.0,18,1969.0,1.320932586537549,1,8.0,3.0,3.0,1.0,0.0
7,1,1.0,7.0,-0.0132022984356304,3.0,0.0,0.2873689629117474,1.0,27,1978.0,1.093635994161856,1,7.0,3.0,3.0,1.0,0.0
8,1,1.0,8.0,1.196038004730679,4.0,0.0,1.286834124718174,0.0,33,1970.0,2.2018389383836072,1,8.0,3.0,5.0,1.0,0.0
9,1,1.0,7.0,-1.2224426016019396,2.0,0.0,0.2873689629117474,1.0,28,1975.0,1.7613857624605782,1,8.0,3.0,4.0,1.0,0.0
10,1,1.0,7.0,1.196038004730679,4.0,0.0,1.786566705621388,1.0,19,1974.0,2.2018389383836072,1,8.0,3.0,5.0,1.0,0.0
11,1,1.0,7.0,-0.2262724424962352,1.0,1.0,-0.2123636179914662,1.0,10,1964.0,1.093635994161856,1,7.0,3.0,3.0,1.0,0.0
13,1,1.0,7.0,3.401448467002692,4.0,1.0,1.786566705621388,1.0,17,1970.0,2.4441731677659546,1,8.0,4.0,4.0,1.0,0.0
14,1,1.0,8.0,0.389877802619806,3.333333333333333,0.0,0.2873689629117474,1.0,30,1972.0,0.4117462170347769,1,4.0,3.0,3.0,1.0,0.0
16,1,1.0,7.0,-0.0132022984356304,3.0,0.0,1.286834124718174,1.0,22,0.0,-1.4084217783273614,0,2.0,1.0,3.0,1.0,0.0
17,1,1.0,7.0,1.7891280627809465,2.6666666666666665,1.0,1.286834124718174,1.0,27,1974.0,0.8804794106145203,1,8.0,3.0,2.0,1.0,0.0
18,1,1.0,7.0,0.389877802619806,3.333333333333333,0.0,0.7871015438149604,1.0,20,1973.0,2.2168765753902613,1,7.0,4.0,4.0,1.0,0.0
19,1,1.0,7.0,3.401448467002692,4.0,1.0,2.7860318674278144,1.0,24,1972.0,1.093635994161856,1,7.0,3.0,3.0,1.0,0.0
21,1,1.0,7.0,0.9829678606700738,2.0,1.0,-0.2123636179914662,0.0,22,1971.0,1.534089170084885,1,7.0,3.0,4.0,1.0,0.0
23,1,1.0,10.0,0.5798877596146376,1.6666666666666667,1.0,0.2873689629117474,1.0,23,2000.0,1.9745423460079141,1,7.0,3.0,5.0,1.0,0.0
25,1,1.0,8.0,1.7891280627809465,2.6666666666666665,1.0,0.2873689629117474,1.0,30,1.0,-0.25600355126394514,0,3.0,3.0,2.0,1.0,0.0
27,1,1.0,7.0,-0.0132022984356304,3.0,0.0,1.286834124718174,0.0,21,1963.0,2.2018389383836072,1,8.0,3.0,5.0,1.0,0.0
28,1,1.0,7.0,2.59528826489182,3.333333333333333,1.0,2.7860318674278144,0.0,31,1969.0,1.306792577709192,1,6.0,3.0,4.0,1.0,0.0
29,1,1.0,8.0,-0.0132022984356304,3.0,0.0,0.7871015438149604,1.0,25,0.0,0.4117462170347769,1,4.0,3.0,3.0,1.0,0.0
30,1,1.0,7.0,3.401448467002692,4.0,1.0,1.286834124718174,1.0,21,1657.48,0.9799876979740095,1,6.5,3.0,3.0,1.0,0.0
31,1,1.0,7.0,-0.416282399491067,2.6666666666666665,0.0,0.7871015438149604,0.0,29,1972.0,1.534089170084885,1,7.0,3.0,4.0,1.0,0.0
32,1,1.0,9.0,1.3860479617255104,2.333333333333333,1.0,0.7871015438149604,1.0,31,1977.0,-0.7374786809395677,0,8.0,3.0,1.0,0.0,0.0
33,2,1.0,9.0,1.196038004730679,4.0,0.0,1.286834124718174,1.0,21,1972.0,1.0653559765051417,1,3.0,3.0,5.0,1.0,0.0
34,2,0.0,6.0,-1.2224426016019396,2.0,0.0,-0.2123636179914662,0.0,33,1968.0,1.320932586537549,1,8.0,3.0,3.0,1.0,0.0
35,2,1.0,7.0,-0.0132022984356304,3.0,0.0,0.7871015438149604,0.0,27,0.0,0.18444962465908377,0,3.0,3.0,3.0,1.0,0.0
37,2,1.0,9.0,-0.0132022984356304,3.0,0.0,1.286834124718174,1.0,28,1969.0,1.2926525688808348,1,4.0,3.0,5.0,1.0,0.0
38,2,1.0,7.0,-0.0132022984356304,3.0,0.0,0.7871015438149604,0.0,26,1963.0,1.7613857624605782,1,8.0,3.0,4.0,1.0,0.0
39,2,1.0,7.0,0.9829678606700738,2.0,1.0,0.7871015438149604,1.0,27,0.0,1.2926525688808348,1,4.0,3.0,5.0,1.0,0.0
40,2,1.0,7.0,3.401448467002692,4.0,1.0,1.786566705621388,0.0,22,1968.0,0.7936044922259412,1,5.68,3.0,3.0,1.0,0.0
41,2,1.0,8.0,2.998368365947256,3.6666666666666665,1.0,1.286834124718174,1.0,17,1972.0,1.2926525688808348,1,4.0,3.0,5.0,1.0,0.0
43,2,1.0,9.0,1.196038004730679,4.0,0.0,-1.2118287797978933,1.0,12,1973.0,1.4912250394993343,1,7.0,3.0,4.0,1.0,0.037037037037037035
44,2,1.0,8.0,0.9829678606700738,2.0,1.0,-0.7120961988946796,1.0,28,1.0,1.0653559765051417,1,3.0,3.0,5.0,1.0,0.0
45,2,1.0,7.0,1.196038004730679,4.0,0.0,0.7871015438149604,0.0,23,1972.0,1.548229178913242,1,9.0,3.0,3.0,1.0,0.0
46,2,1.0,10.0,-0.2262724424962352,1.0,1.0,0.2873689629117474,0.0,34,1.0,1.23405766814897,1,5.68,3.0,4.0,1.0,0.0
47,2,1.0,9.0,1.196038004730679,4.0,0.0,1.286834124718174,1.0,33,1974.0,2.2018389383836072,1,8.0,3.0,5.0,1.0,0.0
48,2,1.0,8.0,1.7891280627809465,2.6666666666666665,1.0,0.2873689629117474,0.0,25,0.0,1.9745423460079141,1,7.0,3.0,5.0,1.0,0.0
50,2,1.0,7.0,-0.0132022984356304,3.0,0.0,0.2873689629117474,1.0,21,1974.0,-0.02870695888825214,0,4.0,3.0,2.0,1.0,0.0
51,2,1.0,8.0,2.59528826489182,3.333333333333333,1.0,0.7871015438149604,1.0,26,1973.0,1.534089170084885,1,7.0,3.0,4.0,1.0,0.0
52,2,1.0,8.0,-0.416282399491067,2.6666666666666665,0.0,-0.2123636179914662,1.0,28,1407.678571428571,0.7936044922259412,1,5.68,3.0,3.0,1.0,0.0
53,2,1.0,8.0,2.192208163836383,3.0,1.0,1.286834124718174,0.0,32,1.0,0.4258862258631341,1,6.0,3.0,2.0,1.0,0.0
54,2,1.0,8.0,0.389877802619806,3.333333333333333,0.0,1.786566705621388,1.0,33,1973.0,-0.02960458706654878,0,7.0,2.0,2.0,1.0,0.0
55,2,1.0,9.0,1.196038004730679,4.0,0.0,0.7871015438149604,1.0,34,1966.0,0.14158549407353282,0,3.0,3.0,3.0,1.0,0.037037037037037035
56,2,1.0,8.0,-0.0132022984356304,3.0,0.0,0.2873689629117474,0.0,24,1974.0,1.534089170084885,1,7.0,3.0,4.0,1.0,0.0
57,2,1.0,9.0,-0.0132022984356304,3.0,0.0,0.7871015438149604,1.0,31,1969.0,2.2018389383836072,1,8.0,3.0,5.0,1.0,0.0
58,2,1.0,7.0,-0.0132022984356304,3.0,0.0,1.786566705621388,1.0,25,1407.678571428571,1.476391897531317,1,5.68,4.0,3.0,1.0,0.0
59,2,1.0,7.0,1.7891280627809465,2.6666666666666665,1.0,0.2873689629117474,0.0,15,1973.0,1.7613857624605782,1,8.0,3.0,4.0,1.0,0.0
60,2,1.0,7.0,2.998368365947256,3.6666666666666665,1.0,2.7860318674278144,1.0,29,1963.0,0.3816709430214692,1,6.0,1.0,5.0,1.0,0.0
61,2,1.0,8.0,1.3860479617255104,2.333333333333333,1.0,-0.7120961988946796,1.0,32,0.0,1.3076902058874886,1,3.0,4.0,4.0,1.0,0.0
62,2,1.0,7.0,2.192208163836383,3.0,1.0,1.286834124718174,1.0,29,1973.0,0.8521993929578059,1,4.0,3.0,4.0,1.0,0.0
63,2,1.0,7.0,-0.0132022984356304,3.0,0.0,1.286834124718174,0.0,22,0.0,0.6249028005821128,1,3.0,3.0,4.0,1.0,0.0
64,2,1.0,10.0,2.192208163836383,3.0,1.0,0.7871015438149604,1.0,34,1977.0,0.6040542366507028,1,8.0,3.0,4.0,1.0,1.0
119,5,1.0,8.0,3.401448467002692,4.0,1.0,2.7860318674278144,0.0,33,1971.0,1.7613857624605782,1,8.0,3.0,4.0,1.0,0.0
120,5,1.0,7.0,2.192208163836383,3.0,1.0,0.2873689629117474,0.0,25,1624.735294117647,0.8521993929578059,1,4.0,3.0,4.0,1.0,0.0
121,5,1.0,8.0,2.192208163836383,3.0,1.0,0.2873689629117474,0.0,31,1966.0,1.093635994161856,1,7.0,3.0,3.0,1.0,0.0
122,5,1.0,7.0,2.192208163836383,3.0,1.0,2.7860318674278144,1.0,27,1.0,1.2926525688808348,1,4.0,3.0,5.0,1.0,0.0
123,5,1.0,9.0,-0.0132022984356304,3.0,0.0,0.2873689629117474,0.0,30,1974.0,1.9745423460079141,1,7.0,3.0,5.0,1.0,0.0
124,5,1.0,9.0,2.192208163836383,3.0,1.0,0.2873689629117474,0.0,31,0.0,1.9745423460079141,1,7.0,3.0,5.0,1.0,0.0
126,5,1.0,9.0,0.389877802619806,3.333333333333333,0.0,0.7871015438149604,1.0,33,1974.0,1.7613857624605782,1,8.0,3.0,4.0,1.0,0.0
127,5,1.0,9.0,3.401448467002692,4.0,1.0,0.7871015438149604,1.0,33,1624.735294117647,1.583810299667068,1,7.21875,3.0,4.0,1.0,0.0
128,5,1.0,8.0,-0.0491471642779142,2.333333333333333,,0.2873689629117474,1.0,24,1974.0,1.534089170084885,1,7.0,3.0,4.0,1.0,0.0
129,5,1.0,9.0,2.192208163836383,3.0,1.0,1.286834124718174,1.0,25,0.0,0.7029039478210101,1,7.21875,3.0,2.0,1.0,0.0
131,5,1.0,8.0,0.9829678606700738,2.0,1.0,-0.2123636179914662,1.0,25,0.0,1.479824835682231,1,7.0,4.0,5.0,0.0,0.0
132,5,1.0,8.0,-2.028602803712812,1.3333333333333333,0.0,-1.2118287797978933,1.0,25,1968.0,1.2917549407025382,1,7.0,2.0,5.0,1.0,0.0
133,5,1.0,7.0,0.5798877596146376,1.6666666666666667,1.0,-1.7115613607011066,0.0,21,1971.0,1.7613857624605782,1,8.0,3.0,4.0,1.0,0.0
134,5,1.0,7.0,0.9829678606700738,2.0,1.0,-0.2123636179914662,1.0,21,1971.0,2.4291355307593,1,9.0,3.0,5.0,1.0,0.0
135,5,1.0,8.0,2.192208163836383,3.0,1.0,1.286834124718174,1.0,25,1975.0,2.4291355307593,1,9.0,3.0,5.0,1.0,0.0
137,5,1.0,8.0,2.192208163836383,3.0,1.0,0.2873689629117474,0.0,33,1971.0,1.9886823548362713,1,9.0,3.0,4.0,1.0,0.0
138,5,1.0,7.0,-2.4316829047682487,1.0,0.0,-1.7115613607011066,1.0,29,1624.735294117647,1.093635994161856,1,7.0,3.0,3.0,1.0,0.0
