ids,clsids,schids,expect_college,expect_edu_raw,bonding_idx,teacher_praise,teacher_talk,bridging_idx,ses_self,hukou_type,cog_score
1,1,1,0.0,2.0,1.5001017269006434,3,1.0,0.7551108964799941,,,26
2,1,1,0.0,2.0,-1.274555819958437,3,0.0,0.27568925116455706,,,26
3,1,1,0.0,1.0,1.5001017269006434,3,1.0,1.2345325417954318,0,1.0,29
4,1,1,0.0,2.0,1.5001017269006434,3,1.0,-0.683154039466318,,0.0,17
5,1,1,0.0,2.0,1.5001017269006434,3,1.0,0.7551108964799941,,1.0,30
6,1,1,0.0,2.0,0.3030740362419214,2,1.0,-0.20373239415088062,,0.0,18
7,1,1,0.0,2.0,-2.471583510617159,2,0.0,0.27568925116455706,,1.0,27
8,1,1,0.0,2.0,0.359350375486931,3,,1.2345325417954318,,0.0,33
9,1,1,0.0,1.0,1.5563780661456528,4,,0.27568925116455706,,1.0,28
10,1,1,0.0,2.0,1.5563780661456528,4,,1.7139541871108694,,1.0,19
11,1,1,0.0,2.0,-0.8939536544168005,1,1.0,-0.20373239415088062,,1.0,10
13,1,1,0.0,2.0,2.697129417559365,4,1.0,1.7139541871108694,,,17
14,1,1,0.0,1.0,0.359350375486931,3,,0.27568925116455706,,1.0,30
16,1,1,0.0,1.0,-1.274555819958437,3,0.0,1.2345325417954318,0,1.0,22
17,1,1,0.0,2.0,0.3030740362419214,2,1.0,1.2345325417954318,,1.0,27
18,1,1,0.0,2.0,0.359350375486931,3,,0.7551108964799941,,1.0,20
19,1,1,0.0,2.0,2.697129417559365,4,1.0,2.672797477741744,,1.0,24
21,1,1,0.0,2.0,1.5001017269006434,3,1.0,-0.20373239415088062,,0.0,22
23,1,1,0.0,1.0,0.3030740362419214,2,1.0,0.27568925116455706,,1.0,23
25,1,1,0.0,1.0,2.697129417559365,4,1.0,0.27568925116455706,1,1.0,30
27,1,1,0.0,1.0,0.359350375486931,3,,1.2345325417954318,,0.0,21
28,1,1,0.0,1.0,1.5001017269006434,3,1.0,2.672797477741744,,,31
29,1,1,0.0,1.0,-1.274555819958437,3,0.0,0.7551108964799941,0,1.0,25
30,1,1,0.0,2.0,1.5001017269006434,3,1.0,1.2345325417954318,,,21
31,1,1,0.0,2.0,0.359350375486931,3,,0.7551108964799941,,,29
32,1,1,0.0,2.0,1.5001017269006434,3,1.0,0.7551108964799941,,1.0,31
33,2,1,0.0,1.0,-0.0775281292997152,4,0.0,1.2345325417954318,,,21
34,2,1,0.0,1.0,-2.471583510617159,2,0.0,-0.20373239415088062,,,33
35,2,1,0.0,2.0,-1.274555819958437,3,0.0,0.7551108964799941,0,0.0,27
37,2,1,0.0,2.0,-2.471583510617159,2,0.0,1.2345325417954318,,1.0,28
38,2,1,0.0,2.0,-0.0775281292997152,4,0.0,0.7551108964799941,,,26
39,2,1,0.0,1.0,2.697129417559365,4,1.0,0.7551108964799941,0,1.0,27
40,2,1,0.0,2.0,2.697129417559365,4,1.0,1.7139541871108694,,,22
41,2,1,0.0,2.0,2.697129417559365,4,1.0,1.2345325417954318,,1.0,17
43,2,1,0.0,2.0,1.5563780661456528,4,,-1.1625756847817557,,,12
44,2,1,0.0,1.0,0.3030740362419214,2,1.0,-0.683154039466318,1,1.0,28
45,2,1,0.0,1.0,0.359350375486931,3,,0.7551108964799941,,,23
46,2,1,0.0,1.0,1.5001017269006434,3,1.0,0.27568925116455706,1,0.0,34
47,2,1,0.0,1.0,1.5563780661456528,4,,1.2345325417954318,,,33
