,count,mean,std,min,25%,50%,75%,max,missing_rate
ids,9827.0,10039.4675892948,5933.148301980839,1.0,4854.5,9853.0,15309.5,19958.0,0.0
clsids,9827.0,230.12262134934363,126.81990193616664,1.0,126.0,235.0,343.0,436.0,0.0
expect_college,9827.0,0.6790475221328992,0.46686632449863136,0.0,0.0,1.0,1.0,1.0,0.0
expect_edu_raw,9827.0,6.874732878803297,1.7436108302125701,1.0,6.0,7.0,8.0,10.0,0.0
linking_idx,9827.0,0.0009841014067085332,1.0426437338852383,-1.6820429851508778,-0.84558763757485,-0.0091322899988217,0.8273230575772064,2.352848935218945,0.0
teacher_praise,9816.0,2.3741510459114368,0.8620231108535924,1.0,2.0,2.333333333333333,3.0,4.0,0.0011193650147552914
teacher_talk,9657.0,0.349798073936005,0.476930745087146,0.0,0.0,0.0,1.0,1.0,0.01729927750076321
bonding_idx,9827.0,-7.047982760397321e-05,1.0419344250059421,-3.1092772761636445,-0.615797521599612,-0.1171015706868051,0.8802903311388077,1.3789862820516146,0.0
hukou_type,9827.0,0.5383128116413961,0.49855533472292257,0.0,0.0,1.0,1.0,1.0,0.0
cog_score,9741.0,23.062621907401706,6.491234024579361,2.0,18.0,24.0,28.0,35.0,0.00875139920626844
ses_self,9827.0,2.934566723188635,0.6130928205461832,1.0,3.0,3.0,3.0,5.0,0.0
ses_pca,9827.0,4.627529773954046e-17,1.4847559224693423,-4.624164571614348,-0.9728819011507914,0.1844496246590829,1.093635994161856,3.794710341370047,0.0
ses_pca_group,9827.0,0.5348529561412435,0.49880917245710116,0.0,0.0,1.0,1.0,1.0,0.0
parent_edu_max,9827.0,4.575429717681546,2.0149801178403353,1.0,3.0,3.5789473684210527,6.0,9.0,0.0
family_econ,9827.0,2.815760712729854,0.6135377877649312,1.0,3.0,3.0,3.0,5.0,0.0
home_books,9827.0,3.0599919876194486,1.159464299234044,1.0,2.0,3.0,4.0,5.0,0.0
has_desk,9827.0,0.7802926502802576,0.413054897034527,0.0,1.0,1.0,1.0,1.0,0.0
has_computer,9827.0,0.15938418609790783,0.29616498025163784,0.0,0.0,0.0,0.2,1.0,0.0
